timestamp,datetime,M1_RTD1_temp_C,M2_RTD2_temp_C,M3_RTD3_temp_C,M4_RTD4_temp_C,M5_RTD5_temp_C,M6_RTD6_temp_C,M7_RTD7_temp_C,M8_Pico_temp_C,M9_ADC_temp_C
1763487435.3585,2025-11-18 11:37:15,27.95,-0.81,52.59,-259.74,455.21,763.52,962.77,22.93,
1763487471.0820873,2025-11-18 11:37:51,21.24,-2.21,51.17,312.36,438.4,754.98,953.27,24.8,
1763487506.8051264,2025-11-18 11:38:26,20.28,-2.98,50.18,309.19,438.25,754.84,953.19,24.8,
1763487542.527012,2025-11-18 11:39:02,20.18,-3.01,50.19,309.17,438.13,754.7,953.15,24.8,
1763487578.2454455,2025-11-18 11:39:38,20.19,-2.97,50.2,309.11,438.21,754.75,953.05,25.27,
1763487613.9593885,2025-11-18 11:40:13,20.24,-2.88,50.71,309.12,439.57,755.54,953.79,25.27,
1763487649.6656518,2025-11-18 11:40:49,20.26,-3.01,51.28,309.17,441.65,757.7,956.33,25.27,
1763487685.3754206,2025-11-18 11:41:25,20.79,-2.76,51.73,-250.22,453.11,759.98,958.69,25.27,
1763487721.0856366,2025-11-18 11:42:01,21.14,-2.28,51.45,-259.74,452.14,759.45,958.02,25.73,
1763487756.7915115,2025-11-18 11:42:36,20.98,-2.44,50.98,-254.34,452.99,760.02,958.71,25.73,
1763487792.5028987,2025-11-18 11:43:12,21.18,-2.27,51.06,-259.74,453.05,759.99,958.82,25.73,
1763487828.2269945,2025-11-18 11:43:48,21.21,-2.37,50.99,-259.74,453.07,760.05,958.74,25.27,
1763487863.9454641,2025-11-18 11:44:23,21.21,-2.34,50.96,-259.74,453.0,759.98,958.72,25.73,
1763487899.6568766,2025-11-18 11:44:59,21.24,-2.29,50.94,-259.74,453.04,759.88,958.72,25.27,
1763487935.369335,2025-11-18 11:45:35,21.33,-2.25,50.99,-259.74,452.99,759.98,958.76,25.27,
1763487971.0610619,2025-11-18 11:46:11,21.21,-2.31,50.83,-259.74,453.02,759.88,958.76,25.27,
1763488006.76901,2025-11-18 11:46:46,21.25,-2.32,50.94,-259.74,453.04,759.96,958.74,25.73,
1763488042.4809802,2025-11-18 11:47:22,21.22,-2.25,50.92,-259.74,452.93,759.93,958.71,25.73,
1763488078.1949842,2025-11-18 11:47:58,21.2,-2.24,51.02,-259.74,452.9,759.87,958.77,25.73,
1763488113.9052725,2025-11-18 11:48:33,21.28,-2.25,50.98,-259.74,452.93,759.92,958.7,26.2,
1763488149.608833,2025-11-18 11:49:09,21.22,-2.29,50.99,-259.74,452.94,759.9,958.84,25.73,
1763488185.306123,2025-11-18 11:49:45,21.26,-2.27,51.01,-259.74,452.97,759.86,958.72,26.2,
1763488221.0012748,2025-11-18 11:50:21,21.25,-2.31,51.01,-259.74,452.95,759.87,958.67,25.73,
1763488256.7231286,2025-11-18 11:50:56,21.27,-2.25,50.83,-259.74,452.92,759.91,958.73,25.73,
1763488292.4484591,2025-11-18 11:51:32,21.26,-2.25,51.03,-259.74,452.9,759.88,958.69,26.2,
1763488328.1681116,2025-11-18 11:52:08,21.32,-2.36,51.04,-259.74,452.95,759.83,958.78,26.2,
1763488363.8924673,2025-11-18 11:52:43,21.27,-2.28,50.94,-259.74,452.83,759.85,958.63,25.27,
1763488399.6045575,2025-11-18 11:53:19,21.25,-2.29,50.95,-259.74,452.96,759.84,958.66,25.73,
1763488435.3155167,2025-11-18 11:53:55,21.18,-2.37,50.95,-259.74,452.81,759.84,958.73,25.73,
1763488471.014148,2025-11-18 11:54:31,21.26,-2.21,50.88,-259.74,452.85,759.9,958.72,25.73,
1763488506.7217777,2025-11-18 11:55:06,21.23,-2.26,50.95,-259.74,452.88,759.81,958.71,26.2,
1763488542.4283428,2025-11-18 11:55:42,21.28,-2.34,50.93,-259.74,452.8,759.78,958.7,26.2,
1763488578.130168,2025-11-18 11:56:18,21.27,-2.27,50.99,-259.74,452.82,759.81,958.71,26.2,
1763488613.8220208,2025-11-18 11:56:53,21.19,-2.29,50.95,-259.74,452.79,759.78,958.68,26.2,
1763488649.5199883,2025-11-18 11:57:29,21.28,,,,,,,,
1763488660.3610685,2025-11-18 11:57:40,,,,,,,,,
1763488665.3622286,2025-11-18 11:57:45,,,,,,,,,
1763488670.362872,2025-11-18 11:57:50,,,,,,,,,
1763488675.3633094,2025-11-18 11:57:55,,,,,,,,,
1763488680.3645058,2025-11-18 11:58:00,,,,,,,,,
1763488685.365701,2025-11-18 11:58:05,,,,,,,,,
1763488690.3668866,2025-11-18 11:58:10,,,,,,,,,
1763488695.3680153,2025-11-18 11:58:15,,,,,,,,,
1763488700.3692124,2025-11-18 11:58:20,,,,,,,,,
1763488705.3704152,2025-11-18 11:58:25,,,,,,,,,
1763488710.3716378,2025-11-18 11:58:30,,,,,,,,,
1763488715.3728843,2025-11-18 11:58:35,,,,,,,,,
1763488720.3741145,2025-11-18 11:58:40,,,,,,,,,
1763488725.3753242,2025-11-18 11:58:45,,,,,,,,,
1763488730.3765552,2025-11-18 11:58:50,,,,,,,,,
